iter	Passed	Remaining
0	95	5662
1	118	3448
2	148	2821
3	180	2522
4	206	2274
5	231	2082
6	260	1973
7	282	1835
8	306	1737
9	341	1708
10	404	1800
11	456	1825
12	502	1816
13	528	1738
14	556	1669
15	586	1612
16	599	1517
17	621	1449
18	646	1395
19	675	1350
20	702	1304
21	733	1267
22	748	1204
23	777	1165
24	802	1124
25	831	1087
26	860	1051
27	890	1017
28	917	980
29	945	945
30	976	913
31	999	874
32	1024	838
33	1049	802
34	1074	767
35	1098	732
36	1125	699
37	1180	683
38	1219	656
39	1265	632
40	1335	618
41	1395	597
42	1449	572
