iter	Logloss	Recall
0	0.5820763469	0.8210526316
1	0.488669092	0.8526315789
2	0.4187266147	0.8631578947
3	0.4038489976	0.8947368421
4	0.3552979935	0.9052631579
5	0.3293661566	0.8947368421
6	0.3038004784	0.9263157895
7	0.2863453981	0.9473684211
8	0.2660210815	0.9578947368
9	0.2462453667	0.9578947368
10	0.2284895262	0.9578947368
11	0.2223969439	0.9578947368
12	0.2022345406	0.9684210526
13	0.1945152834	0.9684210526
14	0.1804535163	0.9789473684
15	0.1704065204	0.9789473684
16	0.1639820444	0.9894736842
17	0.1608045769	0.9894736842
18	0.157531959	0.9894736842
19	0.1514225224	0.9894736842
20	0.1433590099	0.9894736842
21	0.1403723959	0.9894736842
22	0.1365568545	0.9894736842
23	0.1316847562	0.9894736842
24	0.1298109884	0.9894736842
25	0.1244895106	0.9894736842
26	0.1211562588	0.9894736842
27	0.1195149849	0.9894736842
28	0.1179670314	0.9894736842
29	0.1137368063	0.9894736842
30	0.1099794931	0.9894736842
31	0.1072234175	0.9894736842
32	0.1050208872	0.9894736842
33	0.1050206958	0.9894736842
34	0.1033214386	0.9894736842
35	0.1012767301	0.9894736842
36	0.09845500777	1
37	0.09340512983	1
38	0.0917581361	1
39	0.09161971938	1
40	0.09016935947	1
41	0.0868144688	1
