iter	Passed	Remaining
0	19	972
1	38	930
2	56	888
3	65	755
4	83	747
5	103	762
6	123	756
7	140	738
8	159	727
9	177	709
10	194	690
11	213	676
12	234	667
13	253	651
14	272	636
15	290	616
16	307	597
17	324	577
18	342	558
19	360	540
20	377	521
21	396	504
22	413	485
23	431	467
24	450	450
25	467	431
26	486	414
27	505	397
28	522	378
29	542	361
30	560	343
31	579	325
32	596	307
33	615	289
34	634	271
35	653	253
36	672	236
37	691	218
38	710	200
39	727	181
40	748	164
41	765	145
42	784	127
43	803	109
44	821	91
45	838	72
46	859	54
47	877	36
48	894	18
49	911	0
