iter	Passed	Remaining
0	39	7850
1	102	10103
2	151	9921
3	202	9903
4	233	9098
5	275	8920
6	317	8763
7	360	8645
8	390	8287
9	417	7933
10	436	7496
11	468	7344
12	501	7220
13	532	7070
14	565	6971
15	588	6765
16	623	6707
17	663	6709
18	693	6603
19	722	6504
20	753	6419
21	781	6325
22	810	6240
23	847	6213
24	881	6171
25	917	6138
26	947	6068
27	982	6035
28	1012	5967
29	1052	5963
30	1082	5903
31	1111	5835
32	1148	5809
33	1180	5762
34	1209	5702
35	1243	5664
36	1272	5606
37	1299	5541
38	1326	5474
39	1357	5430
40	1383	5365
41	1415	5324
42	1444	5272
43	1483	5259
44	1531	5276
45	1563	5233
46	1607	5231
47	1635	5179
48	1665	5133
49	1695	5087
50	1730	5056
51	1761	5012
52	1790	4966
53	1823	4930
54	1865	4918
55	1894	4870
56	1926	4832
57	1957	4792
58	1993	4765
59	2030	4737
60	2061	4697
61	2087	4646
62	2122	4614
63	2158	4586
64	2187	4542
65	2220	4508
66	2247	4461
67	2286	4438
68	2316	4397
69	2353	4371
70	2413	4384
71	2444	4344
72	2476	4307
73	2507	4270
74	2533	4222
75	2571	4195
76	2605	4162
77	2647	4141
78	2697	4131
79	2751	4126
80	2815	4136
81	2857	4112
82	2922	4119
83	2947	4070
84	2977	4028
85	3001	3979
86	3032	3938
87	3075	3913
88	3115	3885
89	3146	3845
90	3174	3802
91	3205	3762
92	3227	3713
93	3256	3672
94	3281	3626
95	3306	3582
96	3331	3537
97	3358	3495
98	3383	3451
99	3414	3414
100	3444	3376
101	3475	3338
102	3508	3304
103	3553	3280
104	3589	3247
105	3622	3212
106	3650	3172
107	3674	3129
108	3706	3094
109	3731	3053
110	3765	3019
111	3797	2983
112	3825	2945
113	3851	2905
114	3882	2869
115	3910	2831
116	3941	2795
117	3976	2763
118	4003	2725
119	4030	2687
120	4062	2652
121	4087	2613
122	4118	2578
123	4147	2541
124	4176	2505
125	4203	2468
126	4233	2433
127	4262	2397
128	4289	2360
129	4323	2328
130	4353	2293
131	4383	2258
132	4413	2223
133	4444	2189
134	4480	2157
135	4508	2121
136	4540	2088
137	4568	2052
138	4598	2017
139	4631	1985
140	4674	1955
141	4706	1922
142	4737	1888
143	4766	1853
144	4798	1820
145	4823	1783
146	4854	1750
147	4879	1714
148	4904	1678
149	4930	1643
150	4953	1607
151	4991	1576
152	5015	1540
153	5048	1508
154	5074	1473
155	5100	1438
156	5123	1403
157	5155	1370
158	5183	1336
159	5206	1301
160	5232	1267
161	5257	1233
162	5283	1199
163	5309	1165
164	5343	1133
165	5374	1100
166	5407	1068
167	5435	1035
168	5458	1001
169	5490	968
170	5517	935
171	5548	903
172	5571	869
173	5601	836
174	5627	803
175	5649	770
176	5679	737
177	5704	705
178	5734	672
179	5765	640
180	5799	608
181	5823	575
182	5853	543
183	5884	511
184	5908	479
185	5938	446
186	5962	414
187	5996	382
188	6022	350
189	6053	318
190	6082	286
191	6112	254
192	6143	222
193	6174	190
194	6196	158
195	6224	127
196	6248	95
197	6281	63
198	6304	31
199	6339	0
